id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
00cd1936,2020-09-09,415,,166,3361,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-10,428,8,204,3399,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-11,429,9,218,3533,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-12,480,,226,3617,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-13,584,12,247,3996,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-14,589,,269,4134,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-15,594,,270,4236,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-16,666,13,282,4649,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-17,695,,294,4834,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
00cd1936,2020-09-18,704,,300,4878,,,,,,,3,1,2,3,1,1,1,4,2,2,0,1,0,-3,-60.42,-71.3,-58.33,-75.0,2,Colombia,"Archipiélago de San Andrés Providencia y Santa Catalina",,13.353055955,-81.375278475,61280,COL,CO,170,COU,88,ChIJ4fBdUFXSBI8RKYUk0Gcbqkg,,COSAP,,COL.26_1
